short_window,long_window,ml_weight,max_depth,min_samples_split,n_estimators,sharpe_ratio,total_return,max_drawdown,train_accuracy,val_accuracy,test_accuracy,importance_OBV,importance_MA_Ratio_50,importance_Volatility,importance_BB_Width,importance_ADX,importance_MACD,importance_MA_Ratio_20,importance_Force_Index,importance_RSI,importance_BB_Position
5,20,0.3,10,2,50,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9600591715976331,0.8928571428571429,0.8898071625344353,0.023920564177811136,0.06861075932978822,0.015823575289862713,0.016203667350728514,0.02870766685855396,0.062481920595692485,0.26384946896913436,0.0960165175802471,0.283968773744926,0.14041708610325554
5,20,0.3,10,2,100,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9571005917159763,0.8988095238095238,0.8870523415977961,0.02315865291526263,0.06870385375250296,0.017819670690318493,0.017475796689837165,0.026356134990061814,0.05763842960840035,0.2616839130739164,0.08494381340023253,0.2555903021470718,0.18662943273239588
5,20,0.3,10,2,200,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9600591715976331,0.8928571428571429,0.8898071625344353,0.02193469786318332,0.06327165427020592,0.018605981954672716,0.016025615249461826,0.024661060090454073,0.05954531977776064,0.23401029401256335,0.06012774423423727,0.32208574950687674,0.1797318830405842
5,20,0.3,10,5,50,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9600591715976331,0.8928571428571429,0.8898071625344353,0.023920564177811136,0.06861075932978822,0.015823575289862713,0.016203667350728514,0.02870766685855396,0.062481920595692485,0.26384946896913436,0.0960165175802471,0.283968773744926,0.14041708610325554
5,20,0.3,10,5,100,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9571005917159763,0.8988095238095238,0.8870523415977961,0.02315865291526263,0.06870385375250296,0.017819670690318493,0.017475796689837165,0.026356134990061814,0.05763842960840035,0.2616839130739164,0.08494381340023253,0.2555903021470718,0.18662943273239588
5,20,0.3,10,5,200,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9600591715976331,0.8928571428571429,0.8898071625344353,0.02193469786318332,0.06327165427020592,0.018605981954672716,0.016025615249461826,0.024661060090454073,0.05954531977776064,0.23401029401256335,0.06012774423423727,0.32208574950687674,0.1797318830405842
5,20,0.3,10,10,50,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9556213017751479,0.8988095238095238,0.8870523415977961,0.022475216496881712,0.06670883750223623,0.016980823630612554,0.013731660251929933,0.034798436917995085,0.06787571297301548,0.25773420592544904,0.09929411410156248,0.2819046203404501,0.13849637185986727
5,20,0.3,10,10,100,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9571005917159763,0.8928571428571429,0.8898071625344353,0.021756279755076404,0.06431966038594022,0.01736466975876284,0.0156752017503351,0.028029017300189855,0.060644729162376725,0.26146167594101594,0.08541000401327911,0.25663011250978784,0.1887086494232359
5,20,0.3,10,10,200,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9571005917159763,0.8928571428571429,0.8898071625344353,0.020718088332508343,0.06263178847553232,0.017766622617761962,0.015429339475472415,0.025424947841220943,0.0617706365228562,0.2306646734538489,0.05929283364912546,0.32031457282571574,0.1859864968059577
5,20,0.3,None,2,50,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9600591715976331,0.8928571428571429,0.8898071625344353,0.023928971539473355,0.06852070893391089,0.015820707670129507,0.01669901890600188,0.028688891499161772,0.0620845533860799,0.26385972381537104,0.09599726914276405,0.2839477131662399,0.14045244194086778
5,20,0.3,None,2,100,0.6199693130097986,1.0046485644263585,-0.46157667863337803,0.9571005917159763,0.8988095238095238,0.8870523415977961,0.023272496734503535,0.06878035539000077,0.017936421536750343,0.017676629251146894,0.026326264019498523,0.057429911857760266,0.2615045072844083,0.08490315678028024,0.25545774872622784,0.18671250841942322
